OID_,Lat_Center,Lon_Center,Area_Geo,AR,Height_km,Diam_Geo,Length_km,Width_km
0,35.715341402200004,-148.642639981000002,78780.516367300006095,0.935013784955000,2.070200000000000,294.779999999999973,304.680000000000007,284.879999999999995
1,-31.545063720300000,-131.788743167999996,12848.364661300000080,0.966341463415000,1.566375000000000,120.930000000000007,123.000000000000000,118.859999999999999
2,35.925484315200002,-122.685856786000002,72258.231912599992938,0.940018966335000,3.006692307690000,286.404999999999973,295.259999999999991,277.550000000000011
3,8.593749980060000,-104.404575371000007,33485.459592599996540,0.969407170038000,1.350750000000000,196.664999999999992,199.719999999999999,193.610000000000014
4,-1.999275061270000,-103.130734387000004,79362.793175700004213,0.700193103448000,0.625750000000000,308.160000000000025,362.500000000000000,253.819999999999993
5,-16.514902079599999,-105.016749610999995,152376.818055000010645,0.896161394861000,1.880333333330000,415.430000000000007,438.180000000000007,392.680000000000007
6,-42.969244713000002,-102.617824945999999,38142.132273900002474,0.993649311230000,0.399200000000000,213.469999999999999,214.150000000000006,212.789999999999992
7,-12.291181222900001,-98.421795921599994,170820.682731000008062,0.842115351440000,2.155300000000000,480.524999999999977,521.710000000000036,439.339999999999975
8,25.038907497499999,-96.382651572100002,293799.664295000024140,0.964066518087000,4.349100000000000,572.820000000000050,583.299999999999955,562.340000000000032
9,52.523302299299999,-92.277810376600002,115545.118337000007159,0.789536568625000,1.119700000000000,351.975000000000023,393.370000000000005,310.579999999999984
10,-37.898326748999999,-90.028633460300000,165531.741363999986788,0.986525789593000,1.877500000000000,437.134999999999991,440.100000000000023,434.170000000000016
11,-20.355342381700002,-86.947367959100006,46535.585364400001708,0.803566464117000,1.241000000000000,227.060000000000002,251.789999999999992,202.330000000000013
12,10.107451962600001,-85.368573617899997,206491.342965999996522,0.886815265508000,2.210615384620000,483.769999999999982,512.789999999999964,454.750000000000000
13,-27.657555193099999,-79.317855292800004,163056.252785999997286,0.835198393608000,1.422266666670000,438.694999999999993,478.089999999999975,399.300000000000011
14,-17.694628812600001,-75.109783768000000,239680.611581000004662,0.827899565766000,3.434523809520000,521.975000000000023,571.120000000000005,472.829999999999984
15,-45.279979630500002,-65.348560060599993,40536.393064999996568,0.864535703602000,0.644166666667000,218.159999999999997,234.009999999999991,202.310000000000002
16,-21.960428374100001,-68.840454494100001,57973.979480499998317,0.917320503331000,1.790482758620000,259.029999999999973,270.199999999999989,247.860000000000014
17,-18.558459167999999,-67.241228841500003,20497.773557100001199,0.829366268961000,0.884409090909000,152.560000000000002,166.789999999999992,138.330000000000013
18,13.657401141899999,-68.501695514399998,73703.733816899999510,0.970067132674000,1.467227272730000,284.654999999999973,288.980000000000018,280.329999999999984
19,2.830158083290000,-58.580113343599997,116413.928062999999383,0.813883946224000,1.554277777780000,366.985000000000014,404.639999999999986,329.329999999999984
20,17.781280489600000,-56.372622365100000,13828.713422599999831,0.808206514009000,1.031714285710000,127.135000000000005,140.620000000000005,113.650000000000006
21,18.575850584900000,-57.060369306399998,8179.825357669999903,0.911887279222000,1.204266666670000,96.340000000000003,100.780000000000001,91.900000000000006
22,36.223551081200000,-51.708960362799999,19766.439501500000915,0.875460801180000,0.947714285714000,152.625000000000000,162.759999999999991,142.490000000000009
23,-8.808065247509999,-54.783840375899999,23694.714989100000821,0.856955155670000,1.615782608700000,162.530000000000001,175.050000000000011,150.009999999999991
