OID_,Lat_Center,Lon_Center,Area_Geo,AR,Height_km,Diam_Geo,Length_km,Width_km,Center_DEM_Altitude_m,Ellipse_Min_Altitude_m,Ellipse_Mean_Altitude_m,Ellipse_Max_Altitude_m,Estimated_Local_Base_m,Center_DEM_Altitude_km,Ellipse_Min_Altitude_km,Ellipse_Mean_Altitude_km,Ellipse_Max_Altitude_km,Estimated_Local_Base_km
0,35.7153414022,-148.642639981,78780.5163673,0.935013784955,2.0702,294.78,304.68,284.88,1921.0,511.0,1404.0534302877015,2802.0,731.8000000000002,1.921,0.511,1.4040534302877015,2.802,0.7318000000000002
1,-31.5450637203,-131.788743168,12848.3646613,0.966341463415,1.566375,120.93,123.0,118.86,2145.0,580.0,1075.2971962616823,2281.0,714.625,2.145,0.58,1.0752971962616824,2.281,0.714625
2,35.9254843152,-122.685856786,72258.23191259998,0.940018966335,3.00669230769,286.405,295.26,277.55,834.0,472.0,856.3630573248407,3625.0,618.3076923100002,0.834,0.472,0.8563630573248407,3.625,0.6183076923100003
3,8.59374998006,-104.404575371,33485.4595926,0.969407170038,1.35075,196.665,199.72,193.61,365.0,-96.0,183.82152974504248,1602.0,251.25,0.365,-0.096,0.18382152974504248,1.602,0.25125
4,-1.99927506127,-103.130734387,79362.7931757,0.700193103448,0.62575,308.16,362.5,253.82,54.0,-447.0,146.47156891932121,729.0,103.25,0.054,-0.447,0.14647156891932123,0.729,0.10325
5,-16.5149020796,-105.016749611,152376.818055,0.896161394861,1.88033333333,415.43,438.18,392.68,2435.0,-100.0,1529.5139620232967,2994.0,1113.6666666699998,2.435,-0.1,1.5295139620232967,2.994,1.11366666667
6,-42.969244713,-102.617824946,38142.1322739,0.99364931123,0.3992,213.47,214.15,212.79,787.0,429.0,689.6348348348348,1013.0,613.8,0.787,0.429,0.6896348348348348,1.013,0.6137999999999999
7,-12.2911812229,-98.4217959216,170820.682731,0.84211535144,2.1553,480.525,521.71,439.34,1808.0,473.0,1113.8100645469758,3027.0,871.6999999999998,1.808,0.473,1.1138100645469757,3.027,0.8716999999999998
8,25.0389074975,-96.3826515721,293799.664295,0.964066518087,4.3491,572.82,583.3,562.34,3050.0,-1132.0,1842.5341469531054,5840.0,1490.8999999999996,3.05,-1.132,1.8425341469531054,5.84,1.4908999999999997
9,52.5233022993,-92.2778103766,115545.118337,0.789536568625,1.1197,351.975,393.37,310.58,774.0,296.0,700.1771839209522,1537.0,417.3000000000002,0.774,0.296,0.7001771839209522,1.537,0.41730000000000017
10,-37.898326749,-90.0286334603,165531.741364,0.986525789593,1.8775,437.135,440.1,434.17,2338.0,493.0,1187.8296009187482,2642.0,764.5,2.338,0.493,1.1878296009187481,2.642,0.7645
11,-20.3553423817,-86.9473679591,46535.5853644,0.803566464117,1.241,227.06,251.79,202.33,1759.0,390.0,890.5048439181916,2138.0,897.0,1.759,0.39,0.8905048439181915,2.138,0.897
12,10.1074519626,-85.36857361789998,206491.342966,0.886815265508,2.21061538462,483.77,512.79,454.75,2077.0,-59.0,817.677946187287,2546.0,335.38461538,2.077,-0.059,0.8176779461872871,2.546,0.33538461538000003
13,-27.6575551931,-79.3178552928,163056.252786,0.835198393608,1.42226666667,438.695,478.09,399.3,2355.0,658.0,1763.6423641069887,2677.0,1254.73333333,2.355,0.658,1.7636423641069887,2.677,1.2547333333300001
14,-17.6946288126,-75.109783768,239680.611581,0.827899565766,3.43452380952,521.975,571.12,472.83,4751.0,-1609.0,2722.3974007513452,5820.0,2385.4761904800002,4.751,-1.609,2.7223974007513454,5.82,2.3854761904800004
15,-45.2799796305,-65.3485600606,40536.393065,0.864535703602,0.644166666667,218.16,234.01,202.31,1761.0,1063.0,1496.6783013379873,1840.0,1195.8333333330002,1.761,1.063,1.4966783013379872,1.84,1.1958333333330002
16,-21.9604283741,-68.8404544941,57973.9794805,0.917320503331,1.79048275862,259.03,270.2,247.86,1912.0,901.0,1779.912065439673,3029.0,1238.5172413799999,1.912,0.901,1.779912065439673,3.029,1.2385172413799999
17,-18.558459168,-67.2412288415,20497.7735571,0.829366268961,0.884409090909,152.56,166.79,138.33,1392.0,389.0,807.9368295589989,1498.0,613.590909091,1.392,0.389,0.8079368295589988,1.498,0.613590909091
18,13.6574011419,-68.5016955144,73703.7338169,0.970067132674,1.46722727273,284.655,288.98,280.33,2020.0,413.0,910.626906133514,2195.0,727.7727272700001,2.02,0.413,0.910626906133514,2.195,0.7277727272700001
19,2.83015808329,-58.5801133436,116413.928063,0.813883946224,1.55427777778,366.985,404.64,329.33,1772.0,224.0,1321.6544556493106,2738.0,1183.7222222199998,1.772,0.224,1.3216544556493106,2.738,1.18372222222
20,17.7812804896,-56.3726223651,13828.7134226,0.808206514009,1.03171428571,127.135,140.62,113.65,1148.0,-226.0,610.0530821917808,1272.0,240.28571429,1.148,-0.226,0.6100530821917809,1.272,0.24028571428999998
21,18.5758505849,-57.0603693064,8179.82535767,0.911887279222,1.20426666667,96.34,100.78,91.9,1333.0,-410.0,384.4507462686567,1333.0,128.73333333000005,1.333,-0.41,0.3844507462686567,1.333,0.12873333333000006
22,36.2235510812,-51.7089603628,19766.4395015,0.87546080118,0.947714285714,152.625,162.76,142.49,423.0,-378.0,-174.36879432624113,691.0,-256.71428571399997,0.423,-0.378,-0.17436879432624114,0.691,-0.25671428571399996
23,-8.80806524751,-54.7838403759,23694.7149891,0.85695515567,1.6157826087,162.53,175.05,150.01,2579.0,824.0,1595.6029258098224,2755.0,1139.2173913,2.579,0.824,1.5956029258098223,2.755,1.1392173912999999
24,-13.6554165479,-54.4819344683,12091.6827563,0.967144413712,0.504739130435,117.35,119.31,115.39,1747.0,1084.0,1460.2783300198807,1753.0,1248.2608695650001,1.747,1.084,1.4602783300198807,1.753,1.2482608695650002
25,2.79319335689,-46.076118556,38958.6219234,0.902402127074,1.61828571429,207.495,218.14,196.85,1684.0,495.0,932.6585987261146,2316.0,697.71428571,1.684,0.495,0.9326585987261147,2.316,0.69771428571
26,1.9877265199,-43.5962046063,505272.176984,0.829462532425,1.92981818182,754.635,824.98,684.29,939.0,-2419.0,772.1889056200515,2543.0,613.1818181799999,0.939,-2.419,0.7721889056200515,2.543,0.61318181818
27,-33.4409843889,-42.6407067415,58293.051998,0.977483238383,1.10845,255.125,258.03,252.22,1692.0,683.0,1286.6495149725854,2099.0,990.55,1.692,0.683,1.2866495149725854,2.099,0.9905499999999999
28,-43.5429943617,-38.326230961,23489.1474905,0.984121212121,1.5789047619,163.69,165.0,162.38,2051.0,338.0,1089.6697435897436,2191.0,612.0952381,2.051,0.338,1.0896697435897436,2.191,0.6120952381
29,-24.5147600062,-36.4786181853,170031.456657,0.967375207892,1.45064705882,431.77,438.93,424.61,2470.0,527.0,1619.3378866384048,2677.0,1226.35294118,2.47,0.527,1.6193378866384047,2.677,1.22635294118
30,28.488605244,-33.6531657354,12194.3429426,0.934568616097,0.960066666667,116.935,120.89,112.98,828.0,-58.0,332.6927710843373,1060.0,99.93333333299995,0.828,-0.058,0.3326927710843373,1.06,0.09993333333299995
31,-34.4301991614,-31.4949862562,101956.966367,0.992064189288,2.22252380952,340.135,341.49,338.78,2727.0,749.0,1832.3678215472235,3355.0,1132.4761904799998,2.727,0.749,1.8323678215472234,3.355,1.1324761904799998
32,19.308285389,-16.1239661896,10596.1786754,0.948770491803,0.5574,109.365,112.24,106.49,987.0,174.0,619.0913242009133,1025.0,467.6,0.987,0.174,0.6190913242009133,1.025,0.4676
33,22.035153885,-15.4105401152,10410.0121631,0.992601388381,0.909571428571,109.075,109.48,108.67,1621.0,635.0,928.339534883721,1621.0,711.4285714289999,1.621,0.635,0.9283395348837209,1.621,0.711428571429
